GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
2-1-03-005,005,මීගහහේන දකුණ,மீகஹஹேன தெற்கு,Meegahahena South,380,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-010,010,මීගහහේන,மீகஹஹேன,Meegahahena,379,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-015,015,ගලබාව,கலபாவ,Galabawa,378,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-020,020,කොබ්බෑගල,கொப்பேகல,Kobbegala,370,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-025,025,අඹගහහේන,அம்பகஹஹேன,Ambagahahena,371,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-030,030,රොක්හිල්,ரொக்ஹில்,Rockhill,302,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-035,035,අක්කර වත්ත,அக்கரவத்த,Akkarawatta,303,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-040,040,බොනකොට්,பொனகொட்,Bonakot,304,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-045,045,හද්දාපිටිය,அதாபிட்டிய,Haddapitiya,305,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-050,050,දෙල්ගස්යාය,தெல்கஸ்யாய,Delgasyaya,307,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-055,055,ගල්ලෙනවත්ත,கல்லெனவத்த,Gallenawatta,364,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-060,060,කදන්හේන  නැගෙනහිර,கந்தஹேன கிழக்கு,Kandanhena East,400,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-065,065,නාමල්තැන්න,கந்தஹேன மேற்கு,Namalthenna,401,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
2-1-03-070,070,අලවත්තේගම,அலவத்தேகம,Alawattegama,399,2: මධ්‍යම/ மத்திய/ Central,1: මහනුවර/ கண்டி/ Kandy,3: තුම්පනේ/ தும்பணை‍/ Thumpane
