GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
2-2-03-005,005,වැටකොලුවැව,வெடகொலுவெவ,Wetakoluwewa,E438D,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-010,010,දේවහූව ජනපදය 2,தேவஹூவ ஜனபதய 2,Dewahuwa Janapadaya 2,E437D,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-015,015,මකුල්ගස්වැව,மக்குல்கஸ்வெவ,Makulgaswewa,E438A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-020,020,ඉබ්බන්කටුව,இப்பன்கடுவ,Ibbankatuwa,E439B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-025,025,තලකිරියාගම,தலகிரியாகம,Thalakiriyagama,E439,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-030,030,තෙන්නකෝන්පුර,தென்னகோன்புர,Thennakoonpura,E438C,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-035,035,දඬුබැඳිරුප්ප,தன்டுபெதிருப்ப,Dandubendiruppa,E438,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-040,040,දේවහූව ජනපදය 1,தேவஹூவ ஜனபதய 1,Dewahuwa Janapadaya 1,E437C,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-045,045,බුලනවැව,புலனவெவ,Bulanawewa,E437A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-050,050,පහල දිග්ගල,பஹல திக்கல,Pahala Diggala,E438B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-055,055,මීවලපතහ,மீவலபதஹ,Meewalapathaha,E433D,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-060,060,පහලවැව,பஹல வெவ,Pahalawewa,E439A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-065,065,යටිගල්පොත්ත,யட்டிகல்பொத்த,Yatigalpotta,E433A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-070,070,කුඹුක්ගොල්ල,குபுக்கொல்ல,Kumbukgolla,E437B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-075,075,කොස්ගහහින්න,கொஸ்கஹஹின்ன,Kosgahahinna,E436D,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-080,080,රාලලෑ රොටවැව,ராலலேரொடவெவ,Ralalerotawewa,E436C,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-085,085,මොරගොල්ල,மொரகொல்ல,Moragolla,E436A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-090,090,පිබිදුනගම,பிபிதினுகம,Pibidunugama,E436B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-095,095,අලුත්වැව,அலுத்வெவ,Aluthwewa,E436,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-100,100,බඔරගස්වැව,பம்பரகஸ்வெவ,Bambaragaswewa,E435,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-105,105,බේලියකන්ද,பேலியகந்த,Beliyakanda,E437,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-110,110,සිල්වත්ගම,சில்வத்கம,Silwathgama,E433C,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-115,115,වලස්වැව,வலஸ்வெவ,Walaswewa,E433,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-120,120,ගලපාමුල,கலபாவுல,Galapamula,E432H,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-125,125,දමුණුමුල්ල,தமுனுமுல்ல,Damunumulla,E432A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-130,130,පට්ටිවෙල,பட்டிவெல,Pattiwela,E432F,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-135,135,නිලගම,நிலகம,Nilagama,E435A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-140,140,හොම්බාව,ஹொம்பாவ,Hombawa,E431A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-145,145,පාලු හොම්බාව,பாலு ஹொம்பாவ,Palu Hombawa,E432J,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-150,150,දඹවටවන,தம்பவட்டவன,Dambawatawana,E432G,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-155,155,පුවක්පිටිය,புவக்பிட்டிய,Puwakpitiya,E433B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-160,160,වේරගලවත්ත,வேரகலவத்த,Weragalawatte,E434A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-165,165,නබඩගහවත්ත,நமடகஹவத்த,Namadagahawatte,E434,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-170,170,ගලේවෙල නගරය,கலேவெல நகரம்,Galewela Town,E432,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-175,175,පත්කොලගොල්ල,பத்கொலகொல்ல,Pathkolagolla,E432B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-180,180,කොස්පොත,கொஸ்பொத்த,Kospotha,E431C,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-185,185,රංවැඩියාව,ரன்வெடியாவ,Ranwediyawa,E432I,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-190,190,පහළ බම්බාව,பஹல பம்பாவ,Pahala Bambawa,E432E,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-195,195,දඬුයාය,தன்டுயாய,Danduyaya,E432C,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-200,200,දඹගොල්ල,தம்பகொல்ல,Dambagolla,E434B,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-205,205,ඉහල බම්බාව,இஹல பம்பாவ,Ihala Bambawa,E432D,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
2-2-03-210,210,සියඹලාගහවෙල,சியம்பலாகஹ‎‎வெல,Siyambalagahawela,E427A,2: මධ්‍යම/ மத்திய/ Central,2: මාතලේ/ மாத்த‍‍‍ளை/ Matale,3: ගලේවෙල/ கலேவெல/ Galewela
