GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
5-2-03-005,005,රිදීඇල,ரிதீ‎எல்ல,Ridee Ela,142L,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-010,010,බක්මීදෙණිය,பக்மீதெணிய,Bakmeedeniya,142K,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-015,015,දෙහිඅත්තකණ්ඩිය,தெஹிஅத்தகண்டிய,Dehiattakandiya,142J,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-020,020,කදිරාපුර,கதிராபுர,Kadirapura,142N,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-025,025,මාවනාගම,மாவனாகம,Mawanagama,142I,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-030,030,ලිහිණියාගම,லிஹிணியாகம,Lihiniyagama,142H,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-035,035,සේරුපිටිය,சேருப்பிடிய,Serupitiya,142G,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-040,040,සදමඩුල්ල,ஸந்தமடுல்ல,Sadamadulla,142F,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-045,045,සඳුන්පුර,ஸதுன்புற,Sandunpura,142E,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-050,050,පරණගම,பரணகம,Paranagama,142C,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-055,055,ඉහලගම,இஹலகம,Ihalagama,142D,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-060,060,නවමැදගම,நவமெதகம,Nawa Medagama,142B,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-03-065,065,වැව්මැදගම,வெவ்மெதகம,Wewmedagama,142A,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,3: දෙහිඅත්තකන්ඩිය/ ‎தெஹிஅத்தக்கண்டிய/ Dehiattakandiya
5-2-06-005,005,ගල්ඔඩේ,கல்ஓடை,Galode,141A,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,6: පදියතලාව/ பதியதலாவ/ Padiyathalawa
5-2-06-010,010,පලතුරුවැල්ල,பழதுரு வெல்ல,Palathuruwella,137C,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,6: පදියතලාව/ பதியதலாவ/ Padiyathalawa
5-2-06-015,015,පුළුන්ගස්මුල්ල,புலுன்கஸ்முல்ல,Pulungasmulla,137D,5: නැගෙනහිර/ கிழக்கு/ Eastern,2: අම්පාර/ அம்பா‍‍றை/ Ampara,6: පදියතලාව/ பதியதலாவ/ Padiyathalawa
