GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
5-1-03-005,005,කදිරවේලි,கதிரவேளி,Kathiravely,213,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-010,010,අමන්දනාවේලි,அம்மந்தனாவெளி,Ammanthanavely,213D,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-015,015,පුච්චන්කේනි,புச்சாக்கேணி,Puchchakerny,213C,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-020,020,පාලිචේන,பால்சேனை,Palchenai,213A,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-025,025,වාකරේ උතුර,வாகரை வடக்கு,Vakarai North,212A,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-030,030,ඌරියන්කඩ්ඩු,ஊரியன்கட்டு,Uriyankaddu,212B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-035,035,කඩ්ඩමුරිව්,கட்டுமுறிவு,Kaddumurivu,213B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-040,040,වාකරේ මධ්‍යම,வாகரை மத்தி,Vakarai Central,212,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-045,045,පනිච්චන්කේනි,பனிச்சங்கேணி,Panichchankerni,211C,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-050,050,මදුරන්කේනිකුළම්,மதுரங்கேணிக்குளம்,Mathurankernikulam,211E,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-055,055,පුනා‍නි නැගෙනහිර,புனாணை கிழக்கு,Punanai East,211B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-060,060,කිර්මිච්චිය,கிரிமிச்சை,Kirmichai,211F,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-065,065,මාන්කේනි මධ්‍යම,மாங்கேணி மத்தி,Mankerny Central,211,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-070,070,මාන්කේනි දකුණ,மாங்கேணி  தெற்கு,Mankerny South,211G,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-075,075,කායන්කේනි,காயான்கேணி,Kayankerny,211A,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-03-080,080,වට්ටවාන්,வட்டவான்,Vattavan,211D,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,3: කෝරලේපත්තු උතුර/ ‍‍‎‍‍‍‎‍‍‍‎‍கோறளைப்பற்று வடக்கு வாகரை/ Koralai Pattu North
5-1-06-005,005,කාහිදනගරය,பேப்பர் நகரம்,Paper Town,210B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-010,010,ඕට්ටමාවඩි 01 උතුර,ஓட்டமாவடி 1 வடக்கு,Oddamavadi 01 North,208B/2,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-015,015,ඕට්ටමාවඩි 01 දකුණ,ஓட்டமாவடி 1 தெற்கு,Oddamavadi 01 South,208B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-020,020,ඕට්ටමාවඩි 02,ஓட்டமாவடி 02,Oddamavadi  02,208C,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-025,025,ඕට්ටමාවඩි 03,ஓட்டமாவடி 03,Oddamavadi 03,208,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-030,030,මීරාවෝඩ මුස්ලිම් බටහිර,மீராவோடை முச்லிம் மேற்கு,Meeravodai Muslim West,207,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-035,035,මීරාවෝඩ මුස්ලිම් නැගෙනහිර,மீராவோடை  முச்லிம் கிழக்கு,Meeravodai  Muslim  East,207B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-06-040,040,මාන්චෝලෛ,மாஞ்சோலை,Mancholai,207A,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,6: කෝරලේපත්තු බටහිර (ඕට්ටමාවඩි)/ ‍‍‎‍கோறளைப்பற்று ‍மேற்கு ( ஓட்டமாவடி)/ Koralai Pattu West (Oddamavadi)
5-1-09-005,005,නාසිවන්තීවු - 205C,நாசிவன்தீவு 205 C,Nasivanthivu - 205C,205C,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,9: කෝරලේපත්තු (වාලච්චේනෙ)/ ‍‍‎‍கோறளைப்பற்று (வாழைச்சேனை)/ Koralai Pattu (Valachchenai)
5-1-09-010,010,වාලච්චේන දෙමළ,வாழைச்சேனை தமிழ்,Valaichenai Tamil,205,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,9: කෝරලේපත්තු (වාලච්චේනෙ)/ ‍‍‎‍கோறளைப்பற்று (வாழைச்சேனை)/ Koralai Pattu (Valachchenai)
5-1-09-015,015,පුදුක්කුඩියිරුප්පු,புதுக்குடியிருப்பு,Puthukudiyiruppu,205A,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,9: කෝරලේපත්තු (වාලච්චේනෙ)/ ‍‍‎‍கோறளைப்பற்று (வாழைச்சேனை)/ Koralai Pattu (Valachchenai)
5-1-09-020,020,පෙතාලයි,பேத்தாளை,Pethalai,205B,5: නැගෙනහිර/ கிழக்கு/ Eastern,1: මඩකලපුව/ மட்டக்களப்பு/ Batticaloa,9: කෝරලේපත්තු (වාලච්චේනෙ)/ ‍‍‎‍கோறளைப்பற்று (வாழைச்சேனை)/ Koralai Pattu (Valachchenai)
