GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
5-3-03-005,005,සේවාජනපදය,ஸேவாஜனபதய,Sewajanapadaya,31K,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-010,010,ගැමුණුපුර,கெமுனுபுர‎,Gemunu Pura,31N,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-015,015,කාවන්තිස්සපුර,காவந்திஸ்ஸபுர,Kavanthissa Pura,31H,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-020,020,ලස්සනගම,லஸ்ஸனகம,Lassana Gama,31P,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-025,025,සිංහපුර,ஸிங்ஹபுர,Singhapura,31J,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-030,030,පරණමැදවච්චිය,பரணமெதவச்சிய,Paranamedawachchiya,31F,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-035,035,සමන්පුර,ஸமன்புர,Samanpura,31M,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-040,040,ශ්‍රී තිස්සපුර,ஸ்ரீ திஸ்ஸபுர,Sri Thissapura,31L,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-045,045,ශ්‍රි පුර,ஸ்ரீபுர,Sri Pura,31D,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-03-050,050,ජයන්තිවැව,ஜயந்திவெவ,Jayanthi Wewa,31I,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,3: පදවි ශ්‍රි පුර/ பதவி ஸ்ரீ புர/ Padavi Sri Pura
5-3-06-005,005,තෙන්නමරවාඩි,தென்னமரவடி,Thennamaravadi,31E,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-010,010,පුල්ලමුඩෙයි 03,புல்மோட்டை03,Pulmoddai 03,31G,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-015,015,පුල්ලමුඩෙයි 02,புல்மோட்டை 02,Pulmoddai 02,31H,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-020,020,පුල්ලමුඩෙයි 01,புல்மோட்டை 01,Pulmoddai 01,31I,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-025,025,පුල්ලමුඩෙයි 04,புல்மோட்டை 04,Pulmoddai 04,31J,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-030,030,තිරියායි,திரியாய்,Thiriyai,237,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-035,035,සෙන්තූර්,செந்தூர்,Senthoor,237B,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-040,040,කට්ටු කුලම්,கட்டுக்குளம்,Kaddu kulam,237C,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-045,045,කල්ලම්පත්තයි,கல்லம்பத்தை,Kallampaththai,237D,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-050,050,කුච්චවෙලි,குச்சவெளி,Kuchchaveli,239,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-055,055,ඉරණයික්කේණී,இரணைக்கேணி,Iranaikkeni,239A,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-060,060,වීරංචෝලයි,வீரன்சோலை,Veerancholai,239B,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-065,065,ජයා නගර්,ஜாயா நகர்,Jaya Nagar,239C,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-070,070,කාසිම් නගර්,காசிம் நகர்,Cassim Nagar,239D,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
5-3-06-075,075,කුඹුරුපිටිය දකුණ,கும்புறுப்பிட்டி தெற்கு,Kumburupitiya South,240,5: නැගෙනහිර/ கிழக்கு/ Eastern,3: ත්‍රිකුණාමලය/ திரு‍கோண‍மலை/ Trincomalee,6: කුච්චවේලි/ குச்ச‍வேலி/ Kuchchaveli
