GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
7-1-03-005,005,බුද්ධංගල,புத்தங்கல,Buddhangala,005,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-010,010,ඇලිකිඹුලාගල,எலிகிபுலாகல,Elikibulagala,007,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-015,015,අභයපුර,அபயபுர,Abayapura,009,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-020,020,‍මෛත්‍රීපුර,மைத்றீபுர,Maithreepura,008,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-025,025,පරාක්‍රමපුර,பராக்கிரமபுர,Parakramapura,006,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-030,030,බී යාය,B   யாய,'B' yaya,004,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-035,035,බිසෝකොටුව,பிஸோகொடுவ,Bisokotuwa,001,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-040,040,සුදර්ශනගම,சுதர்சனகம,Sudharshanagama,003,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-045,045,බාලයාවැව,பாலயாவெவ,Balayawewa,015,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-050,050,මහසෙන්පුර,மஹஸென்புர,Mahasenpura,012,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-055,055,ඌරෑව,உரேவ,Urewa,011,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-060,060,කුඹුක්වැව,கும்புக்வெவ,Kubukwewa,010,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-065,065,රුවන්පුර,ருவன்புர,Ruwanpura,013,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-070,070,බෝගහ වැව,போகஹவெவ,Bogahawewa,014,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-03-075,075,පදවිය,பதவிய,Padaviya,002,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,3: පදවිය/ பதவிய/ Padaviya
7-1-06-005,005,හල්මිල්ලවැටිය,ஹல்மில்லவடிய,Halmillawatiya,027,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,6: කැබිතිගොල්ලෑව/ ‎‎கெபித்தி‎கொல்‍லேவ/ Kebithigollewa
7-1-06-010,010,කණුගහවැව,கனுகஹவெவ,Kanugahawewa,028,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,6: කැබිතිගොල්ලෑව/ ‎‎கெபித்தி‎கொல்‍லேவ/ Kebithigollewa
7-1-06-015,015,හේරත්හල්මිල්ලෑව,ஹேரத் ஹல்மில்லேவ,Herathhalmillewa,035,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,6: කැබිතිගොල්ලෑව/ ‎‎கெபித்தி‎கொல்‍லேவ/ Kebithigollewa
7-1-06-020,020,බෙල්ලන්කඩවල,பெல்லன்கடவல,Bellankadawala,037,7: උතුරු මැද/ வட மத்திய/ North-Central,1: අනුරාධපුරය/ அநுராதபுரம்/ Anuradhapura,6: කැබිතිගොල්ලෑව/ ‎‎கெபித்தி‎கொல்‍லேவ/ Kebithigollewa
