GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
7-2-03-005,005,සිංහගම,சிங்ககம,Sinhagama,31,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-010,010,ගල්ඔය,கல்ஒய,Galoya,32,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-015,015,රොටවැව,ரொடவெவ,Rotawewa,34,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-020,020,රත්මලේ,ரத்மலே,Rathmale,33,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-025,025,පලුවද්දන,பலு வத்தன,Paluwaddana,35,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-030,030,යෝධඇල,யோத எல,Yodha Ela,63,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-035,035,යටියල්පතාන,யடியல்பதான,Yatiyalpathana,61,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-040,040,රන්කොත්ගම,ரந்கொத்கம,Rankothgama,62,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-045,045,සිරිකෙත,ஸ்ரீகெத்த,Siriketha,73,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-050,050,කුමාරගම,குமாரகம,Kumaragama,72,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-055,055,සාමපුර,ஸாமபுர,Samapura,80,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-060,060,කිඹුලාවල,கிம்புலாவல,Kimbulawala,68,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-065,065,උල්පත්වැව,உல்பத்வெவ,Ulpathwewa,67,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
7-2-03-070,070,මිනිහිරිගම,மிணிஹிரிகம,Minihirigama,60,7: උතුරු මැද/ வட மத்திய/ North-Central,2: පොළොන්නරුව/ ‎பொலண்ணரு‍வை/ Polonnaruwa,3: හිඟුරක්ගොඩ/ ஹிங்குரக்‎கொடை‍/ Hingurakgoda
