GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
4-1-03-005,005,අනලෙයි තීව් උතුර,அனலைத் தீவு வடக்கு,Analativu North,J/37,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-010,010,අනලෙයි තීව් දකුණ,அனலைத் தீவு தெற்கு,Analaitivu South,J/38,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-015,015,එළුවෙයි තීවු,எலுவைதீவு,Eluvaitivu,J/39,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-020,020,පරුත්තියඩෙයිප්පු,பருத்தியடைப்பு,Paruthiyadaippu,J/50,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-025,025,කයිට්ස්,ஊா்காவற்றுறை,Kayts,J/49,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-030,030,කරම්පොන්,கரம்பொன்,Karampon,J/51,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-035,035,කරම්පොන් නැගෙනහිර,கரம்பொன் கிழக்கு,Karampon East,J/52,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-040,040,නාරාන්තනෙයි වයඹ,நாரந்தனை வட மேற்கு,Naranthanai North West,J/56,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-045,045,නාරාන්තනෙයි උතුර,நாரன்தனை வடக்கு,Naranthanai North,J/55,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-050,050,නාරන්තනෙයි,நாரன்தனை,Naranthanai,J/57,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
4-1-03-055,055,නාරාන්තනෙයි දකුණ,நாரன்தனை தெற்கு,Naranthanai South,J/58,4: උතුර/ வடக்கு/ Northern,1: යාපනය/ யாழ்பாணம்/ Jaffna,3: කයිට්ස්/ தீவு வடக்கு (கை‍ட்ஸ்)/ Island North (Kayts)
