GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
4-5-03-005,005,අල්ලිපලයි,அல்லிப்பளை,Allipallai,89,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-010,010,අරසර්කේණි,அரசர்கேணி,Arasarkerni,91,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-015,015,ඉට්ටාවිල්,இத்தாவில்,Ittavil,92,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-020,020,ඉයක්කච්චි,இயக்கச்சி,Iyakachchi,79,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-025,025,කච්චාර්වෙලි,கச்சார்வெளி,Kachcharveli,90,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-030,030,කිලාලි,கிளாலி,Kilali,95,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-035,035,කෝවිල්වයල්,கோவில் வயல்,Kovilvayal,78,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-040,040,මාසාර්,மாசார்,Masar,81,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-045,045,මුගමාලයි,முகமாலை,Mugamalai,93,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-050,050,මුගාවිල්,முகாவில்,Mugavil,80,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
4-5-03-055,055,මුල්ලයඩි,முல்லையடி,Mullaiyady,85,4: උතුර/ வடக்கு/ Northern,5: කිලිනොච්චි/ கிளி‎‎நொச்சி/ Kilinochchi,3: පච්චිලයිපල්ලි/ பச்சிலைப்பல்லி/ Pachchilaipalli
