GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
4-2-03-005,005,තලෙයිමන්නාරම ගම උතුර,தலை மன்னார் கிராமம் வடக்கு,Talaimannar Village North,MN/48,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-010,010,තලෙයිමන්නාර් පේර් බටහිර,தலை மன்னார் பியா் மேற்கு,Talaimannar Pier West,MN/50,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-015,015,තලෙයිමන්නාරම පියර් නැගෙනහිර,தலை மன்னார் பியா்  கிழக்கு,Talaimannar Pier East,MN/51,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-020,020,තලෙයිමන්නාරම,தலை மன்னார்,Taliamannar,MN/52,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-025,025,තලෙයිමන්නාරම ගම දකුණ,தலை மன்னார் கிராமம் தெற்கு,Talaimannar Village South,MN/49,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-030,030,කඩ්ඩුක්කාරන් කුඩීයිරුප්පු,கட்டுக்காரன் குடியிருப்பு,Kaddukaran Kudiyiruppu,MN/53,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-035,035,තුල්ලු කුඩිරුප්පු,துள்ளுகுடியிருப்பு,Thullukudiyiruppu,MN/54,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-040,040,පේසලෛ දකුණ,பேசாலை தெற்கு,Pesalai South,MN/56,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-045,045,පේසාලෛ උතුර,பேசாலை வடக்கு,Pesalai North,MN/57,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-050,050,පේසාලෛ බටහිර,பேசாலை மேற்கு,Pesalai West,MN/55,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-055,055,සිරුත්තොප්පු,சிறுத்தோப்பு,Siruthoppu,MN/58,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
4-2-03-060,060,පෙරිය කරිසල්,பெரிய கரிசல்,Periya Karisal,MN/59,4: උතුර/ வடக்கு/ Northern,2: මන්නාරම/ மன்னார்/ Mannar,3: මන්නාරම නගරය/ மன்னார் நகரம்/ Mannar Town
