GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
4-3-03-005,005,උන්ජල්කට්ටි,ஊஞ்சல்கட்டி,Unchalkaddy,221,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-010,010,විඩියයිතකල්ලු,வெடிவைத்தகல்லு,Vedivaithakallu,221A,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-015,015,මරුතොඩෛ,மருதோடை,Maruthodai,221B,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-020,020,පට්ටිකුඩිඉරුප්පු,பட்டிக்குடியிருப்பு,Paddikudiyiruppu,221C,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-025,025,කත්කුලමී,கற்குளம்,Katkulam,221D,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-030,030,නෙඩුනකෙර්නි දකුණ,நெடுங்கேணி தெற்கு,Nedunkerny South,222,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-035,035,නෙදුන්කෙර්නි උතුර,நெடுங்கேணி வடக்கு,Nedunkerny North,222A,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-040,040,ඔලුමඩු,ஒலுமடு,Olumadu,222B,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-045,045,මාමඩු,மாமடு,Mamadu,222C,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-050,050,කුලවිසුද්දන්,குலவிசுட்டான்,Kulavisuddan,222D,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-055,055,මාරයිලුපයි,மரஇல்லுபாய்,Maraillupai,222E,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-060,060,පරන්තන්,பரந்தன்,Paranthan,223,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-065,065,අනර්ද පුලියන්කුලම්,ஆனந்த புலியங்குளம்,Anantha Puliyakulam,223A,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-070,070,සින්නාඩම්පන්,சின்னடம்பம்,Sinnadampan,223B,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-075,075,නයිනමඩු,நைனமடு,Nainamadu,223C,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-080,080,පුලියන්කුලමී දකුණ,புலியங்குளம் தெற்கு,Puliyankulam South,224,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-085,085,පුලියන්කුලමී උතුර,புலியங்குளம் வடக்கு,Puliyankulam North,224A,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-090,090,කනකරායන්කුලමී දකුණ,கணகராயன்குளம் தெற்கு,Kanakarayankulam South,225,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
4-3-03-095,095,කනකරායන්කුලමී උතුර,கணகராயன்குளம் வடக்கு,Kanakarayankulam North,225A,4: උතුර/ வடக்கு/ Northern,3: වව්නියාව/ வவுனியா/ Vavuniya,3: වවුනියා උතුර/ வவுனியா வடக்கு/ Vavuniya North
