GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
6-1-03-005,005,ජයන්තිපුර,ஜயந்திபுர,Jayanthipura,7,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-010,010,බඹරේ,பம்பரே,Bambare,10,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-015,015,සදගල,சந்தகல,Sandagala,8,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-020,020,පැරකුම්පුර,பெரக்கும்புர,Perakumpura,11,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-025,025,සෝලෙපුර,சோலேபுர,Solepura,20,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-030,030,හල්මිල්ලගල,ஹல்மில்லகல,Halmillagala,12,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-035,035,තිඹිරිපොකුණ,திம்பிரிபொகுண,Thimbiripokuna,13,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-040,040,සැරසුම්ගල,செரசும்கல,Serasumgala,15,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-045,045,‍කොක්මඩුව,கொக்மடுவ,Kokmaduwa,27,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-050,050,ඔරුගල,ஒருகல,Orugala,16,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-055,055,මහ‍සෙන්පුර,மஹசேன்புர,Mahasenpura,14,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-060,060,වීර‍පොකුණ,வீரபொக்குண,Weerapokuna,17,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-065,065,හස්තිරාජපුර,ஹஸ்திராஜபுர,Hasthirajapura,19,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-070,070,තමිමිටගම,தம்மிட்டகம,Thammitagama,21,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-075,075,දම්සෝපුර,தம்சோபுர,Damsopura,18,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-080,080,සෝලෙවැව,சோலேவெவ,Solewewa,6,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-085,085,පතනේවැව,பதனேவெவ,Pathanewewa,9,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-090,090,අභයපුර,அபயபுர,Abhayapura,3,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-095,095,සගබෝපුර,சங்கபோபுர,Sangabopura,5,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-100,100,ගුරුළුපිටිගම,குருளுபிட்டிகம,Gurulupitigama,2,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-105,105,වරාවැව,வராவெவ,Warawewa,4,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-110,110,පොතාන,பொத்தான,Pothana,22,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-115,115,පහල ගිරිබාව,பஹல கிரிபாவ,Pahala Giribawa,23,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-120,120,ඉහල ගිරිබාව,இஹல கிரிபாவ,Ihala Giribawa,26,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-125,125,වේරගල,வேரகல,Weragala,24,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
6-1-03-130,130,ඉහල මරදන්කඩවල,இஹல மரதன்கடவல,Ihala Maradankadawala,25,6: වයඹ/ வட ‍மேற்கு/ North-Western,1: කුරුණෑගල/ குருணாக‍லை/ Kurunegala,3: ගිරිබාව/ கிரிபாவ/ Giribawa
