GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
6-2-03-005,005,ඩච්බේ,டச்பே,Datchbay,633,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-010,010,පල්ලියවත්ත,பள்ளியவத்தை,Palliyawatta,633A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-015,015,ආනවාසල,ஆணைவாசல்,Anawasala,631A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-020,020,සින්නකුඩිරිප්පුව,சின்னக்குடியிருப்பு,Sinnakudieruppu,631,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-025,025,වන්නි මුන්දලම,வன்னி முந்தலம,Vanni Mundalama,630B,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-030,030,මන්ඩලකුඩාව,மண்டலக்குடா,Mandalakuda,630C,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-035,035,පෙරියකුඩිරිප්පුව,பெரியகுடியிருப்பு,Periyakudieruppu,630,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-040,040,පුදුකුඩිරිප්පුව,புதுக்குடியிருப்பு,Pudukudirippuwa,630A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-045,045,කන්දකුලිය කුඩාව,கண்டக்குழி குடா,Kandakuli Kudawa,629C,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-050,050,කූරිඤ්ඤන්පිටිය  උතුර,குறிஞ்ஞிப்பிட்டிய வடக்கு,Kurinjipitiya North,629,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-055,055,කූරිඤ්ඤන්පිටිය දකුණ,குறிஞ்ஞிப்பிட்டிய தெற்கு,Kurinjipitiya South,629B,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-060,060,කන්දකුලිය,கண்டக்குழி,Kandakuli,629A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-065,065,පල්ලිවාසල්තුරේ,பள்ளிவாசல்துறை,Palliwasalthurai,628A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-070,070,මුසල්පිටිය,முசல்பிட்டி,Musalpiti,628,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
