GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
9-2-03-005,005,දොඹේමඩ නැගෙනහිර,தொம்பேமட கிழக்கு,Dombemada East,01B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-010,010,දොඹේමඩ බටහිර,தொம்பேமட மேற்கு,Dombemada West,01A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-015,015,උදන්විට,உதன்விட,Udanvita,01,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-020,020,මාළිගාතැන්න,மாலிகாதென்ன,Maligathenna,03J,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-025,025,අළුගොල්ල,அலுகொல்ல,Alugolla,03C,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-030,030,ගබ්බල උතුර,கப்பல வடக்கு,Gabbala  North,03H,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-035,035,ගබ්බල  දකුණ,கப்பல தெற்கு,Gabbala South,03A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-040,040,මහගම,மஹகம,Mahagama,03K,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-045,045,හල්වත්ත,ஹல்வத்த,Halwatta,03L,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-050,050,හේවාදිවෙල,ஹேவாதிவல,Hewadiwala,03D,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-055,055,නත්තඹුර,நத்தபுர,Nattabura,03,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-060,060,කුඩාගම උතුර,குடாகம வடக்கு,Kudagama North,02A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-065,065,කුඩාගම දකුණ,குடாகம தெற்கு,Kudagama dakuna,02D,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-070,070,මැදගලදෙනිය,மதகலதெணிய,Madagaladeniya,02,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-075,075,වල්ගම,வல்கம,Walgama,04,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-080,080,උඩගලදෙනිය,உடகலதெணிய,Udagaladaniya,02B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-085,085,දඹුල්ල,தம்புல்ல,Dabulla,02C,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
9-2-03-090,090,දැලිවල,தெலிவல,Daliwala,05,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,2: කෑගල්ල/ ‍‎‍‍‍கேகா‍லை/ Kegalle,3: රඹුක්කන/ ரம்புக்கணை/ Rambukkana
