GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
9-1-03-005,005,දිවුරුම්පිටිය,திவுரும்பிடிய,Divurumpitiya,137B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-010,010,හේවායින්න,ஹேவாயின்ன,Hewainna,139B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-015,015,කලටුවාව නැගෙනහිර,கலடுவாவ கிழக்கு,Kalatuwawa East,139A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-020,020,ගැටහැත්ත,கெட்டஹெத்த,Getahetta,137C,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-025,025,වලවිට,வலவிட,Walavita,137,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-030,030,මීන්නාන,மீன்னான,Meennana,137A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-035,035,බෝපැත්ත දිද්ද,போபெத்த தித்த,Bopetta Didda,137E,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-040,040,තොරණකඩ,தொரணகட,Thoranakada,136C,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-045,045,ගනේගොඩ,கனேகொட,Ganegoda,138B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-050,050,ඉද්දමල්ගොඩ,இத்தமல்கொட,Iddamalgoda,138,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
