GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
3-1-03-005,005,පහුරුමුල්ල,பஹுருமுல்ல,Pahurumulla,1,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-010,010,සිංහරූපගම,ஸிங்ஹரூபாகமை,Sinharoopagama,3B,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-015,015,යාත්‍රාමුල්ල,யாத்ராமுல்ல,Yathramulla,3,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-020,020,කෝම්මල,கோம்மல,Kommala,3C,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-025,025,බෝධිමළුව,போதிமலுவ,Bodhimaluwa,3A,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-030,030,දෝපේ,தோபே,Dope,5,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-035,035,අංගාගොඩ,அங்காகொடை,Angagoda,2,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-040,040,වරාහේන,வராஹேன,Warahena,2A,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-045,045,කහගල්ල,கஹகல்ல,Kahagalla,5A,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
3-1-03-050,050,හුංගන්තොට  වඩුමුල්ල,ஹுங்கன்தொட்டை வடுமுல்ல,Huganthota Wadumulla,3D,3: දකුණ/ தெற்கு/ Southern,1: ගාල්ල/ காலி/ Galle,3: බෙන්තොට/ ‎பெந்தொட்டை/ Benthota
