GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
3-2-03-005,005,කළුබෝවිටියන,கலுபோவிடியன,Kalubovitiyana,259,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-010,010,ගලබඩ,கலபட,Galabada,259D,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-015,015,අ‍ඹේවෙල,அம்பேவெல,Ambewela,259C,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-020,020,දංගල බටහිර,தங்கல மேற்கு,Dangala west,259D,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-025,025,බානගල නැගෙනහිර,பானகல கிழக்கு,Banagala East,260,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-030,030,දංගල නැගෙනහිර,தங்கல கிழக்கு,Dangala East,259A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-035,035,බානගල බටහිර,பானகல மேற்கு,Banagala West,260A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-040,040,ඊදඩුකිත බටහිර,ஈதடுகித மேற்கு,Edandukitha West,258C,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-045,045,ඊදඩුකිත නැගෙනහිර,ஈதடுகித கிழக்கு,Edandukitha East,258A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-050,050,අලපලාදෙනිය දකුණ,அலபலாதெணிய  தெற்கு,Alapaladeya South,258B,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-055,055,අලපලාදෙනිය උතුර,அலபலாதெணிய வடக்கு,Alapaladeya North,258,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-060,060,කිරිවැල්කැලේ උතුර,கிரிவெல்க்கெலே வடக்கு,Kiriwelkele North,261F,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-065,065,රඹුකන බටහිර,ரம்புக்கனை மேற்கு,Rambukana West,262G,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-070,070,කොඩිකාරගොඩ බටහිර,கொடிகாரகொட மேற்கு,Kodikaragoda West,262C,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-075,075,කොඩිකාරගොඩ නැගෙනහිර,கொடிகாரகொட கிழக்கு,Kodikaragoda East,262H,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-080,080,වැලිව,வெலிவ,Weliwa,262A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-085,085,රඹුකන නැගෙනහිර,ரம்புக்கனை கிழக்கு,Rambukana East,262B,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-090,090,තලපෙකුඹුර,தலப்பே கும்புர,Thalapekumbura,261G,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-095,095,කුඩගලහේන,குடகலஹேன,Kudagalahena,261H,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-100,100,කිරිවැල්කැලේ දකුණ,கிரிவெல்க்கெலே தெற்கு,Kiriwelkele South,261C,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-105,105,දෑරංගල,தாரங்கல,Derangala,261B,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-110,110,තැන්නහේන,தென்னஹேன,Thannehena,261E,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-115,115,ගොරකවෙල,கொரகவெல,Gorakawela,261,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-120,120,සියඹලාගොඩ බටහිර,சியம்பலாகொட மேற்கு,Siyambalagoda West,263,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-125,125,කොස්නිල්ගොඩ,கொஸ்நில்கொட,Kosnilgoda,262B,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-130,130,අළුවන,அலுவன,Aluwana,262E,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-135,135,පරදුපල්ල,பரதுப்பல்ல,Paradupalla,262F,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-140,140,මහපොතුවිල,மஹ பொத்துவில,Mahapotuvila,263D,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-145,145,දංකොළුව,தங்கொலுவ,Dankoluwa,265A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-150,150,පිටබැද්දර,பிட்டபெத்தர,Pitabaddera,261A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
