GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
8-1-03-005,005,රොටලෙවෙල,‎‎ரொட்டலவெல,Rotalawela,1M,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-010,010,දිවුලපැලැස්ස,திவுலபெலெஸ்ஸ,Divulapelessa,1C,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-015,015,අළුයටවෙල,அலுயட்டாவல,Aluyatawala,1I,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-020,020,තෙල්දෙනියාය,‎தெல்‎தெணியாய,Theldeniyaya,1L,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-025,025,හෙබරව,‎ஹெபரவ,Hebarawa,1A,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-030,030,ගින්නොරුව,கிண்‎ணொருவ,Ginnoruwa,1J,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-035,035,බෙලගන්වැව,‎பெலகண்‎வெவ,Belaganwewa,1G,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-040,040,උල්හිටිය,உல்ஹிடிய,Ulhitiya,1R,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-045,045,පහළ රත්කිඳ,பஹல ரத்கிந்த,Pahala Rathkinda,1D,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
8-1-03-050,050,හොබරියාව,‎ஹொபரியாவ,Hobariyawa,1N,8: ඌව/ ஊவா/ Uva,1: බදුල්ල/ பது‍ளை/ Badulla,3: මහියංගනය/ மஹியங்க‍ணை/ Mahiyanganaya
