GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
8-2-03-005,005,ඌරාවුල,ஊராவுள,Urawula,103E,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-010,010,කරාඬුගල,கராண்டுகல,Karandugala,103D,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-015,015,බුළුපිටිය,புலுப்பிட்டிய,Bulupitiya,103B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-020,020,නිල්ගල,நில்கள,Nilgala,103,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-025,025,කණවේගල්ල,கண‍‍வேகல்ல,Kanawegalla,102F,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-030,030,උස්සාගල,உஸ்சாகல,Ussagala,102E,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-035,035,බොකාගොන්න,‍பொக்கா‎கொன்ன,Bokagonna,101,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-040,040,පිටකුඹුර,பிட்டக்கும்புர,Pitakumbura,101A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-045,045,හාමාපොල,ஹாம‎ாப்பொல,Hamapola,103A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-050,050,තොටිල්ලකැටිය,‎தொட்டில்ல‎கெட்டிய,Thotillaketiya,103C,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-055,055,කොකුන්නෑව,கொக்குன்னேவ,Kokunnawa,101D,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-060,060,මොරත්තමුල්ල,‎மொரத்தமுல்ல,Morattamulla,101E,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-065,065,නාගල,நாகல,Nagala,101B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-070,070,රදලියද්ද,ரதலியத்த,Radaliyadda,102A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-075,075,අඔගොල්ල,அம்ப‎கொல்ல,Ambagolla,102D,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-080,080,වැගම,‍வேகம,Wegama,102,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-085,085,වැගම   දකුණ,‍வேகம ‎தெற்கு,Wegama South,102C,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-090,090,මල්ලැහැව,மல்‍லெகேவ,Mallahawa,102B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-095,095,කරගහවෙළ නැගනහිර,கரகஹ‎‎வெள கிழக்கு,Karagahawela East,96B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-100,100,කෙහෙල්අත්තාවෙල,‎‎‎கெ‎கெல் அத்தாவெல,Kehelattawela,96,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-105,105,කරගහවෙළ  බටහිර,கரகஹ‎வெள ‍மேற்கு,Karagahawela West,96A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-110,110,උඩමල්ලැහැව,உடமல்‍லெகவ,Udamallahawa,102G,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-115,115,එගොඩ කොටගම,எ‎கொட ‎கொட்டகம,Egoda kotagama,97A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-120,120,කොටගම,‎கொட்டகம,Kotagama,97,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-125,125,බදුල්ල ගම්මන,பதுள்ள கிராமம்,Badulla gammana,100F,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-130,130,කව්ඩැල්ල,கவ்‎டெல்ல,Kawdella,100D,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-135,135,රතුපස්කැටිය,ரத்துபஸ்‎கெட்டிய,Rathupaskatiya,100B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-140,140,ලිඳකුඹුර,லிந்தக்கும்புர,Lindakumbura,101C,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-145,145,බිබිල,பிபில,Bibila,100,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-150,150,අඹේලන්ද,அம்‍பேலன்த,Ambelanda,100C,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-155,155,දොඩම්ගොල්ල,‎தொடம்‎கொல்ல,Dodamgolla,99,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-160,160,දෙහිඅත්තාවෙල,‎தெகிஅத்தா‎வெல,Dehiattawela,99B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-165,165,කනුල්වෙළ,கணுள்‎வெள,Kanulwela,99A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-170,170,ඊතණවත්ත,ஈத்தணவத்த,Ethanawatta,98A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-175,175,කුරුවාඹ,குறுவாம்ப,Kuruwamba,100A,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-180,180,හෙවෙල්වෙල,ஹெ‎வெல்‎வெல,Hewelwela,100E,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
8-2-03-185,185,මූදියල,மூதியல,Moodiyala,98B,8: ඌව/ ஊவா/ Uva,2: මොනරාගල/ ‎மொணராக‍லை/ Moneragala,3: බිබිලේ/ பிபிலை/ Bibile
