GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
4-4-03-005,005,ආලන්කුලම්,ஆலங்குளம்,Alankulam,26,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-010,010,අමෛතිපුරම්,அமைதிபுரம்,Amaithipuram,24,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-015,015,අම්පලප්පෙරුමාල්කුලම්,அம்பலப்பெருமாள்குளம்,Ampalapperumalkulam,25,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-020,020,අනිච්චියන්කුලම්,அனிச்சியன்குளம்,Anichchiyankulam,31,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-025,025,බාරදිනගර්,பாரதிநகர்,Barathinagar,30,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-030,030,‍ෛඑයන්කන්කුලම්,ஐயன்கன்குளம்,Iyankankulam,34,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-035,035,කල්විලාන්,கல்விளான்,Kalvilan,17,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-040,040,කෝඩ්ඩෛකඩ්ඩියකුලම්,கோட்டைக்கட்டிய குளம்,Koddaikaddiyakulam,35,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-045,045,මල්ලාවි,மல்லாவி,Mallavi,20,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-050,050,පලෛයමුරිකන්ඩි,பழையமுறுகண்டி,Palayamurikandy,33,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-055,055,පූකළේන්දිනගර්,புகழேந்திநகர்,Pugalenthinagar,29,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-060,060,පුත්තුවෙඩ්ඩුවාන්,புத்துவெட்டுவான்,Puththuvedduvan,23,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-065,065,දෙන්නියන්කුලම්,தென்னியன்குளம்,Thenniyankulam,32,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
4-4-03-070,070,තේරාන්කන්ඩල්,தேறாங்கண்டல்,Therankandal,27,4: උතුර/ வடக்கு/ Northern,4: මුලතිව්/ முல்லைத்தீவு/ Mullaitivu,3: තුනුක්කායි/ துணுக்காய்/ Thunukkai
