GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
1-1-03-005,005,සම්මන්ත්‍රණපුර,சம்மந்திரணபுர,Sammanthranapura,,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-010,010,මට්ටක්කුලිය,மட்டக்குளி,Mattakkuliya,C26,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-015,015,මෝදර,மோத‍ரை,Modara,C27,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-020,020,මාදම්පිටිය,மாதம்பிட்டிய,Madampitiya,C19,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-025,025,මහවත්ත,மஹவத்தை,Mahawatta,C20,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-030,030,අළුත්මාවත,அளுத்மாவத்தை,Aluthmawatha,C3,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-035,035,ලුණුපොකුණ,ளுணு‎பொக்குண,Lunupokuna,C18,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-040,040,බ්ලූමැන්ඩල්,புளூ‎மெண்டல்,Bloemendhal,C4,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-045,045,කොටහේන නැගෙනහිර,‎கொட்டாஞ்‍சேணை கிழக்கு,Kotahena East,C16,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-050,050,කොටහේන  බටහිර,‎கொட்டாஞ்‍சேணை ‍மேற்கு,Kotahena West,C17,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-055,055,කොච්චිකඩේ උතුර,‎கொச்சிகடை வடக்கு,Kochchikade North,C14,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-060,060,ජින්තුපිටිය,ஜிந்துப்பிட்டி,Jinthupitiya,C11,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-065,065,මසංගස් වීදිය​,மசங்கஸ் வீதி,Massangar Street,C25,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-070,070,නිව් බසාර්,புதிய பசார்,New Bazaar,C29,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-075,075,ග්‍රෑන්ඩ්පාස් දකුණ,கி‍ரேண்ட்பாஸ் ‎தெற்கு,Grandpass South,C8,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-080,080,ග්‍රෑන්ඩ්පාස්  උතුර,கி‍ரேண்ட்பாஸ் வடக்கு,Grandpass North,C7,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-085,085,නවගම්පුර,நவகம்புர,Nawagampura,C28,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-090,090,මාලිගාවත්ත  නැගෙනහිර,மாளிகாவத்தை கிழக்கு,Maligawatta East,C22,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-095,095,ඛෙත්තාරාම,‎கெத்தாராமை,Kettarama,C13,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-100,100,අළුත්කඩේ  නැගෙනහිර,புதுக்கடை கிழக்கு,Aluthkade East,C2,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-105,105,අළුත්කඩේ බටහිර,புதுக்கடை ‍மேற்கு,Aluthkade West,C2,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-110,110,කොච්චිකඩේ  දකුණ,‎கொச்சிக்கடை தெற்கு,Kochchikade South,C15,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-115,115,පිටකොටුව,புறக்‍கோட்டை,Pettah,C31,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-120,120,කොටුව,கோட்டை,Fort,C5,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-125,125,ගාලුමුවදොර,காலி முகத்துவாரம,Galle Face,C6,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-130,130,කොම්පඤ්ඤ වීදිය,‎கொம்பணித்‎தெரு,Slave Island,C33,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-135,135,හුණුපිටිය,ஹுணுப்பிட்டிய,Hunupitiya,C9,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-140,140,සුදුවැල්ල,சுது‎வெல்ல,Suduwella,C34,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-145,145,කෙසෙල්වත්ත,வாழைத்‍தோட்டம் (கெசெல்வத்த),Keselwatta,C12,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-150,150,පංචිකාවත්ත,பஞ்சிக்காவத்தை,Panchikawatta,C30,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-155,155,මාලිගාවත්ත බටහිර,மாளிகாவத்தை ‍மேற்கு,Maligawatta West,C23,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-160,160,මාලිගාකන්ද,மாளிகாகந்தை,Maligakanda,C21,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-165,165,මරදාන,மரதானை,Maradana,C24,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-170,170,ඉබ්බන්වල,இப்பங்‎வெலை,Ibbanwala,C10,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-03-175,175,වෑකන්ද,வேகந்த,Wekanda,C35,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,3: කොළඹ/ கொழும்பு/ Colombo
1-1-06-005,005,වදුල්ල,வதுல்ல,Wadulla,509D,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-010,010,සේදවත්ත,சேதவத்த,Sedawatta,509A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-015,015,හල්මුල්ල,ஹல்முல்ல,Halmulla,509C,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-020,020,කොටුවිල,கொட்டுவில,Kotuvila,509,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-025,025,වෙහෙරගොඩ,‎வெஹர‎கொட,Veheragoda,509B,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-030,030,ඔරුගොඩවත්ත,ஒறு‎கொடவத்த,Orugodawatta,510A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-035,035,මිතොටමුල්ල,மீ‎தொட்டமுல்ல,Meethotamulla,510,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-040,040,වෙලේවත්ත,‍‍‍வெ‍‍லேவத்த,Welewaththa,508A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-045,045,කිත්තම්පහුව,கித்தும்பஹுவ,Kiththampahuwa,508,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-050,050,වෙන්නවත්ත,‎வென்னவத்த,Wennawatta,507,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-055,055,මහබුත්ගමුව බී,மஹ புத்கமுவ B,Mahabuthgamuwa B,506C,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-060,060,කුඩා බුත්ගමුව,குடா புத்கமுவ,Kuda Buthgamuwa,506A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-065,065,කැලණිමුල්ල,‎‎கெளணிமுல்ல,Kelanimulla,504,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-070,070,අඔත‍ලේ,அம்பத்தலே,Ambathale,501A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-075,075,මුල්ලේරියාව  උතුර,முல்லேரியாவ வடக்கு,Mulleriyawa North,501,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-080,080,බැලගම,‍‍பெ‍லேகம   வீிதி,Belagama,504A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-085,085,කොටිකාවත්ත  නැගෙනහිර,‎கொட்டிகாவத்தை கிழக்கு,Kotikawatta East,505,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-090,090,මහ බුත්ගමුව ඒ,மஹ புத்கமுவ‍ A,Maha Buthgamuwa A,506,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-095,095,මහ බුත්ගමුව සී,மஹ புத்கமுவ‍ C,Maha Buthgamuwa C,506D,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-100,100,වැල්ලමිපිටිය,‎வெல்லம்பிட்டிய,Wellampitiya,511,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-105,105,කුරුණියාවත්ත,குரினியாவத்‍தை,Kuriniyawatta,510B,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-110,110,කොළොන්නාව,‎கொ‎லண்ணா‍வை,Kolonnawa,512,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-115,115,දහම්පුර,தஹம்பு‍ரை,Dahampura,511A,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
1-1-06-120,120,සිංහපුර,சிங்கபு‍ரை,Singhapura,512B,1: බස්නාහිර/ மேற்கு/ Western,1: කොළඹ/ ‎கொழும்பு/ Colombo,6: කොළොන්නාව/ கொ‎லண்ணா‍வை/ Kolonnawa
