GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
1-2-03-005,005,කම්මල්තුර,கம்மல்துரை,Kammalthura,77A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-010,010,උතුරු පල්ලන්සේන,பல்லனசேன வடக்கு,Pallansena North,77,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-015,015,කොච්චිකඩේ,‎கொச்சிக‍டை,Kochchikade,78,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-020,020,දකුණු පල්ලන්සේන,பல்லண்‍சேன ‎தெற்கு,Pallansena South,76,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-025,025,දළුවකොටුව,தலுவ‎கொடுவ,Daluwakotuwa,74,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-030,030,පලඟතුරේ,பலங்கது‍ரை,Palangathure,75A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-035,035,ඒත්තුකාල,ஏத்துகால,Ettukala,73,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-040,040,නැගෙනහිර දළුවකොටුව,தலுவ‎கொட்டுவ கிழக்கு,Daluwakotuwa East,74A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-045,045,කට්ටුව,கட்டுவ,Kattuwa,75,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-050,050,නැගෙනහිර දළුපත,தலு‎பொத்த கிழக்கு,Dalupotha East,72A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-055,055,දළුපත,தலு‎பொத்த,Dalupotha,72,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-060,060,කුඩපාඩුව,குடாபாடுவ,Kudapaduwa,73A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-065,065,කුඩපාඩුව උතුර,குடாபாடுவ வடக்கு,Kudapaduwa North,73B,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-070,070,කුඩපාඩුව දකුණ,குடாபாடுவ ‎தெற்கு,Kudapaduwa South,73C,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-075,075,වැල්ල වීදිය,கடற்கரைத் தெரு,Wella Weediya,158,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
